UniqueID	Location Id	Business Account Number	Ownership Name	DBA Name	Street Address	City	State	Source Zipcode	Business Start Date	Business End Date	Location Start Date	Location End Date	Administratively Closed	Mail Address	Mail City	Mail Zipcode	Mail State	NAICS Code	NAICS Code Description	NAICS Code Descriptions List	Parking Tax	Transient Occupancy Tax	LIC Code	LIC Code Description	LIC Code Descriptions List	Supervisor District	Neighborhoods - Analysis Boundaries	Business Corridor	Business Location	data_as_of	data_loaded_at
1201719-09-181-1066827	1201719-09-181	1066827	Liguria, LLC	Caffe Di Bar Sorelle	532 Columbus Ave	San Francisco	CA	94133	03/01/2017	01/10/2023	09/11/2018	10/01/2022						7220-7229	Food Services	Food Services	false	false				3	North Beach	North Beach	POINT (-122.4094275 37.800072)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1204142-10-181-1094060	1204142-10-181	1094060	Project Pizza Polk LLC	Fiorella Polk	2238 Polk St	San Francisco	CA	94109	10/19/2018		10/29/2018			2238 Polk St	San Francisco	94109	CA	7220-7229	Food Services	Food Services	false	false	H25	RESTAURANT 1,000 - 2,000 SQFT	RESTAURANT 1,000 - 2,000 SQFT	3	Russian Hill		POINT (-122.4218205 37.797498)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1184047-04-181-1085896	1184047-04-181	1085896	Dave's Giant Hamburgers	Burger Meister	Market St	San Francisco	CA	94114	04/01/2018	06/30/2021	04/03/2018	06/30/2021	***Administratively Closed					7220-7229	Food Services	Food Services	false	false				8	Castro/Upper Market		POINT (-122.43723 37.76191)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1161835-09-171-1076457	1161835-09-171	1076457	Herb'n Vegan LLC	Herb'n Vegan	1501 Cortland Ave	San Francisco	CA	94110	09/22/2017	02/03/2019	09/22/2017	04/01/2018						7220-7229	Food Services	Food Services	false	false				9	Bernal Heights		POINT (-122.4093825 37.739889)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1209593-01-191-1096801	1209593-01-191	1096801	Elda Agave LLC	Elda	3198 16th St	San Francisco	CA	94103	01/11/2019	12/21/2020	01/11/2019	12/21/2020						7220-7229	Food Services	Food Services	false	false	D02 D04	Multiple	STORAGE & USE OF LIQUEFIED GASES & COMPRESSED GASES; PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY	9	Mission		POINT (-122.423931 37.765017)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1179598-02-181-1083854	1179598-02-181	1083854	Famus	Famus	3915 24th Street	San Francisco	CA	94114	02/20/2018	03/31/2019	02/20/2018	02/20/2018						7220-7229	Food Services	Food Services	false	false				8	Noe Valley	24th St	POINT (-122.430051 37.751301)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1209561-01-191-1030732	1209561-01-191	1030732	Fare Resources Inc.	Fare Resources Inc.	301 Howard St Ste 600	San Francisco	CA	94105	04/15/2016	08/01/2020	11/12/2018	09/27/2019						7220-7229	Food Services	Food Services	false	false				6	Financial District/South Beach		POINT (-122.394447 37.789641)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1177728-02-181-1081280	1177728-02-181	1081280	Ijsy World Kitchen Inc	Creative Sushi Catering	800 Van Ness Ave	San Francisco	CA	94109	12/21/2017		01/30/2018			800 Van Ness Ave	San Francisco	94109	CA	7220-7229	Food Services	Food Services	false	false				5	Tenderloin		POINT (-122.420457 37.783089)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1166890-11-171-1078844	1166890-11-171	1078844	Pepito Sustal	Postmates	392 Miriam Sreet	Daly City	CA	94014	06/29/2016	05/10/2019	06/29/2016	05/10/2019						7220-7229	Food Services	Food Services	false	false							POINT (-122.465073998 37.697896989)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1120984-09-161-1058218	1120984-09-161	1058218	Russian Deli Eliseevski Inc.	Russian Deli Eliseevski	1524 18 Th Ave.	San Francisco	CA	94122	09/09/2016	03/01/2017	09/09/2016	03/01/2017						7220-7229	Food Services	Food Services	false	false				7	Inner Sunset		POINT (-122.4754425 37.759329)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
