Parcel Number	Building Name	Building Address	Postal Code	Floor Area	Property Type - Self Selected	PIM Link	Year Built	Energy Audit Due Date	Energy Audit Status	point	longitude	latitude	analysis_neighborhood	supervisor_district	data_as_of	data_loaded_at
3764/014	425 2ND ST	425 2ND ST	94105	48910	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3764/014	1919	04/01/2024	Pending - Contracted	POINT (-122.394414458 37.784129921)	-122.39441445768237	37.784129920564325	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0030/012A	2550 Taylor St	2550 Taylor St	94133	28822	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0030/012A	1973	04/01/2027	Upcoming	POINT (-122.414997386 37.805680907)	-122.41499738640687	37.805680906640866	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0221/044	1250 JONES ST	1250 JONES ST	94108	119446	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0221/044	1929			POINT (-122.414048738 37.793071344)	-122.41404873760477	37.79307134379058	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5423A/012	2540 Newhall St.	2540 NEWHALL ST.	94124	34500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5423A/012	0	04/01/2014	Did Not Comply	POINT (-122.398915876 37.729183265)	-122.39891587587296	37.72918326483608	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0192/019	855 JACKSON ST	855 JACKSON ST	94108	15626	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0192/019	1958	04/01/2021	Pending - Contracted	POINT (-122.409458219 37.795479307)	-122.409458218593	37.79547930702985	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0306/006	418 GEARY ST	418 GEARY ST	94102	100580	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0306/006	1911			POINT (-122.410375793 37.787264754)	-122.4103757929056	37.78726475374118	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5719/005	3743 MISSION ST	3743 MISSION ST	94110	15000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5719/005	1926	04/01/2029	Upcoming	POINT (-122.423886875 37.736570215)	-122.42388687483731	37.73657021545484	Bernal Heights	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1068/001J	2900 GEARY BLVD	2900 GEARY BLVD	94118	10737	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1068/001J	1929	04/01/2024	Did Not Comply	POINT (-122.450460625 37.782368322)	-122.45046062533069	37.78236832234007	Presidio Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1145/003-J	Dorraine Zief Law Library	2101 Fulton St	94117	67014	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1145/003-J		04/01/2022	Did Not Comply	POINT (-122.450139134 37.776445656)	-122.45013913414225	37.776445655890896	Lone Mountain/USF	1	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0136/005	962 BATTERY ST	962 BATTERY ST	94111	18267	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0136/005	1910	04/01/2030	Upcoming	POINT (-122.401046854 37.800353079)	-122.40104685373926	37.80035307893162	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0750/019	1535 EDDY ST	1535 EDDY ST	94115	486750	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0750/019	1993			POINT (-122.433056769 37.780857535)	-122.4330567692807	37.78085753497708	Western Addition	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0194/006	720 Washington	720 WASHINGTON ST	94108	15507	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0194/006	1964	04/01/2029	Upcoming	POINT (-122.405364242 37.795440014)	-122.4053642419961	37.795440013672184	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0101/031	721 Filbert Street Garage	721 FILBERT ST	94133	23836	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0101/031	1907	04/01/2019	Did Not Comply	POINT (-122.41168167 37.800801565)	-122.4116816702976	37.80080156538707	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3717/022	123 MISSION STREET	123 MISSION ST	94105	418566	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3717/022	1987	04/01/2026	Upcoming	POINT (-122.394339051 37.791882224)	-122.39433905101042	37.79188222445716	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3513/080	1781-San Francisco-Otis Street	190 Otis Street	94103	74936	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3513/080	1909	04/01/2027	Upcoming	POINT (-122.420868294 37.770417187)	-122.42086829416313	37.770417186654946	Mission	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0271/012	564 BUSH ST	564 BUSH ST	94108	14150	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0271/012	1907	04/01/2014	Did Not Comply	POINT (-122.406537821 37.790743221)	-122.40653782085498	37.790743220758145	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0263/011	101 California	101 CALIFORNIA ST	94111	1464955	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0263/011	1983	04/01/2029	Upcoming	POINT (-122.398098612 37.792948967)	-122.39809861205279	37.79294896724541	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3785/132	601 Brannan Street, LLC	601 BRANNAN ST	94107	73666	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3785/132	0	04/01/2025	Upcoming	POINT (-122.398782331 37.775892977)	-122.39878233101095	37.775892977304224	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3704/021	972 Mission LLC	972 MISSION ST	94103	66000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3704/021	1925	04/01/2018	Did Not Comply	POINT (-122.408363268 37.781706695)	-122.40836326791332	37.781706695261	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0242/001	665 GRANT AVE	665 GRANT AVE	94108	10114	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0242/001	1908	04/01/2025	Upcoming	POINT (-122.406229291 37.79319712)	-122.40622929066653	37.793197120045924	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0293/008	Grant Avenue	220 GRANT AVE	94108	25170	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0293/008	1908	04/01/2029	Upcoming	POINT (-122.405010939 37.789120795)	-122.40501093931037	37.78912079537115	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
