"","Building Address","Year Built"
"1","425 2ND ST",1919
"2","2550 Taylor St",1973
"3","2540 NEWHALL ST.",0
"4","855 JACKSON ST",1958
"5","3743 MISSION ST",1926
"6","2900 GEARY BLVD",1929
"7","962 BATTERY ST",1910
"8","720 WASHINGTON ST",1964
"9","721 FILBERT ST",1907
"10","123 MISSION ST",1987
"11","190 Otis Street",1909
"12","564 BUSH ST",1907
"13","101 CALIFORNIA ST",1983
"14","601 BRANNAN ST",0
"15","972 MISSION ST",1925
"16","665 GRANT AVE",1908
"17","220 GRANT AVE",1908
"18","240 GOLDEN GATE AVE",1907
"19","450 10TH ST",1994
"20","69 GREEN ST",1986
"21","2551 MISSION ST",1912
"22","808 BRANNAN ST",1930
"23","401 TARAVAL ST",1972
"24","2140 PALOU AVE",1976
"25","2415 IRVING ST",1950
"26","475 BEACH ST",1983
"27","414 BRANNAN ST",1924
"28","450 OFARRELL ST",1923
"29","251 KEARNY ST",1908
"30","181 2ND ST",1911
"31","333 SCHWERIN ST",1955
"32","9 PETER YORKE WAY",1962
"33","250 VALENCIA ST",1907
"34","350 Bush St",2018
"35","650 POTRERO AVE",1936
"36","601 3RD ST",1920
"37","100 BROADWAY",1927
"38","346 9TH ST",1920
"39","2330 POLK ST",1926
"40","345 SPEAR ST",1991
"41","624 POST ST",1907
"42","2255 HAYES ST",1939
"43","220 POST ST",1907
"44","432 POWELL ST",1930
"45","1522 BUSH ST",1916
"46","2675 GEARY BLVD",1961
"47","631 GRANT AVE",1908
"48","590 20th St",1916
"49","400 POST ST",1909
"50","851 HOWARD ST",1924
"51","1025 HOWARD ST",1939
"52","130 BATTERY ST",1986
"53","1265 BATTERY ST",1982
"54","2300 16TH ST",1900
"55","1150 VICENTE ST",1988
"56","2205 MISSION ST",1919
"57","225 BAY SHORE BLVD",0
"58","559 CLAY ST",1906
"59","555 FULTON ST",1957
"60","300 4TH STREET",1984
"61","3535 GEARY BLVD",1936
"62","650 CALIFORNIA ST",1963
"63","2645 OCEAN AVE",1963
"64","325 9TH ST",1919
"65","2525 16TH ST",1924
"66","1900 19TH AVE",0
"67","2973 16TH ST",1925
"68","545 MISSION ST",1906
"69","88 MISSOURI ST",1931
"70","1019 MARKET ST",1909
"71","1045 BRYANT ST",1916
"72","655 ELLIS ST",1969
"73","930 VAN NESS AVE",1919
