"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"1","425 2ND ST",1919,"Financial District/South Beach",6
"2","2550 Taylor St",1973,"North Beach",3
"3","1250 JONES ST",1929,"Nob Hill",3
"4","2540 NEWHALL ST.",0,"Bayview Hunters Point",10
"5","855 JACKSON ST",1958,"Chinatown",3
"6","418 GEARY ST",1911,"Tenderloin",3
"7","3743 MISSION ST",1926,"Bernal Heights",9
"8","2900 GEARY BLVD",1929,"Presidio Heights",2
"9","2101 Fulton St",NA,"Lone Mountain/USF",1
"10","962 BATTERY ST",1910,"Financial District/South Beach",3
"11","1535 EDDY ST",1993,"Western Addition",5
"12","720 WASHINGTON ST",1964,"Chinatown",3
"13","721 FILBERT ST",1907,"Chinatown",3
"14","123 MISSION ST",1987,"Financial District/South Beach",6
"15","190 Otis Street",1909,"Mission",6
"16","564 BUSH ST",1907,"Financial District/South Beach",3
"17","101 CALIFORNIA ST",1983,"Financial District/South Beach",3
"18","601 BRANNAN ST",0,"Mission Bay",6
"19","972 MISSION ST",1925,"South of Market",6
"20","665 GRANT AVE",1908,"Chinatown",3
"21","220 GRANT AVE",1908,"Financial District/South Beach",3
"22","240 GOLDEN GATE AVE",1907,"Tenderloin",5
"23","25 JESSIE ST",1982,"Financial District/South Beach",6
"24","450 10TH ST",1994,"South of Market",6
"25","1603 PINE ST",1997,"Western Addition",2
"26","208 PENNSYLVANIA AVE",2000,"Potrero Hill",10
"27","865 MARKET ST",NA,"South of Market",6
"28","69 GREEN ST",1986,"Financial District/South Beach",3
"29","2551 MISSION ST",1912,"Mission",9
"30","1760 BUSH ST",1972,"Pacific Heights",5
"31","808 BRANNAN ST",1930,"South of Market",6
"32","401 TARAVAL ST",1972,"West of Twin Peaks",7
"33","201 TURK ST",1993,"Tenderloin",5
"34","2140 PALOU AVE",1976,"Bayview Hunters Point",10
"35","2415 IRVING ST",1950,"Sunset/Parkside",4
"36","345 CHURCH ST",1983,"Castro/Upper Market",8
"37","1400 PINE ST",1993,"Nob Hill",3
"38","475 BEACH ST",1983,"North Beach",3
"39","414 BRANNAN ST",1924,"South of Market",6
"40","1310 TURK ST",1927,"Western Addition",5
"41","450 OFARRELL ST",1923,"Tenderloin",5
"42","988 FULTON ST",1999,"Western Addition",5
"43","10 LUPINE AVE",1957,"Presidio Heights",2
"44","251 KEARNY ST",1908,"Financial District/South Beach",3
"45","181 2ND ST",1911,"Financial District/South Beach",6
"46","333 SCHWERIN ST",1955,"Visitacion Valley",10
"47","9 PETER YORKE WAY",1962,"Western Addition",2
"48","1690 BROADWAY",1975,"Pacific Heights",2
"49","250 VALENCIA ST",1907,"Mission",9
"50","350 Bush St",2018,"Financial District/South Beach",3
"51","650 POTRERO AVE",1936,"Mission",9
"52","601 3RD ST",1920,"Financial District/South Beach",6
"53","100 BROADWAY",1927,"Financial District/South Beach",3
"54","346 9TH ST",1920,"South of Market",6
"55","410 EDDY ST",1907,"Tenderloin",5
"56","2330 POLK ST",1926,"Russian Hill",3
"57","548 BRANNAN ST",2003,"South of Market",6
"58","2090 BROADWAY",1936,"Pacific Heights",2
"59","345 SPEAR ST",1991,"Financial District/South Beach",6
"60","624 POST ST",1907,"Nob Hill",3
"61","208 LAKE MERCED BLVD",1975,"Lakeshore",7
"62","1711 OAKDALE AVE",NA,"Bayview Hunters Point",10
"63","2255 HAYES ST",1939,"Lone Mountain/USF",5
"64","220 POST ST",1907,"Financial District/South Beach",3
"65","432 POWELL ST",1930,"Financial District/South Beach",3
"66","5173 DIAMOND HEIGHTS BLVD",1980,"Noe Valley",8
"67","1522 BUSH ST",1916,"Western Addition",2
"68","2675 GEARY BLVD",1961,"Lone Mountain/USF",2
"69","631 GRANT AVE",1908,"Chinatown",3
"70","1275 HARRISON ST",1936,"South of Market",6
"71","355 BERRY ST",2007,"Mission Bay",6
"72","590 20th St",1916,"Potrero Hill",10
"73","400 POST ST",1909,"Nob Hill",3
"74","360 BERRY ST",2017,"Mission Bay",6
"75","335 BERRY ST",2009,"Mission Bay",6
"76","1835 FRANKLIN ST",1965,"Pacific Heights",2
"77","851 HOWARD ST",1924,"South of Market",6
"78","350 ALABAMA ST",2003,"Mission",9
"79","1025 HOWARD ST",1939,"South of Market",6
"80","151 EXECUTIVE PARK BL",NA,"Bayview Hunters Point",10
"81","130 BATTERY ST",1986,"Financial District/South Beach",3
"82","1830 OCEAN AVE",1985,"West of Twin Peaks",7
"83","1265 BATTERY ST",1982,"Financial District/South Beach",3
"84","348 ARKANSAS ST",1996,"Potrero Hill",10
"85","2300 16TH ST",1900,"Mission",9
"86","1150 VICENTE ST",1988,"Sunset/Parkside",4
"87","1301 16th St",2019,"Mission Bay",10
"88","2205 MISSION ST",1919,"Mission",9
"89","225 BAY SHORE BLVD",0,"Bayview Hunters Point",10
"90","559 CLAY ST",1906,"Chinatown",3
"91","555 FULTON ST",1957,"Hayes Valley",5
"92","300 4TH STREET",1984,"South of Market",6
"93","3535 GEARY BLVD",1936,"Lone Mountain/USF",2
"94","650 CALIFORNIA ST",1963,"Chinatown",3
"95","2645 OCEAN AVE",1963,"West of Twin Peaks",7
"96","701 CHINA BASIN ST",2016,"Mission Bay",6
"97","325 9TH ST",1919,"South of Market",6
"98","895 INDIANA ST",2009,"Potrero Hill",10
"99","2525 16TH ST",1924,"Mission",9
"100","277 GOLDEN GATE AVE",NA,"Tenderloin",5
"101","1300 CLAY ST",NA,"Nob Hill",3
"102","1900 19TH AVE",0,"Inner Sunset",7
"103","2973 16TH ST",1925,"Mission",9
"104","545 MISSION ST",1906,"Financial District/South Beach",6
"105","88 MISSOURI ST",1931,"Mission Bay",10
"106","1019 MARKET ST",1909,"South of Market",6
"107","2230 BRYANT ST",1900,"Mission",9
"108","10 BERTIE MINOR LN",NA,"Western Addition",5
"109","1045 BRYANT ST",1916,"South of Market",6
"110","655 ELLIS ST",1969,"Tenderloin",5
"111","930 VAN NESS AVE",1919,"Tenderloin",5
"112","1998 BROADWAY",1964,"Pacific Heights",2
"113","929 CLAY ST",1981,"Chinatown",3
"114","938 HOWARD ST",1924,"South of Market",6
"115","1509-1519 03RD ST",2021,"Mission Bay",6
"116","1900 GOUGH ST",1937,"Pacific Heights",2
"117","2701 VAN NESS AVE",1929,"Marina",2
"118","1 CALIFORNIA ST",1969,"Financial District/South Beach",3
"119","45 FREMONT ST",1978,"Financial District/South Beach",6
"120","2159 Chestnut St",1914,"Marina",2
"121","55 CYRIL MAGNIN ST",1983,"Tenderloin",3
"122","22 BATTERY ST",1908,"Financial District/South Beach",3
