Building Address	Year Built	analysis_neighborhood	supervisor_district
425 2ND ST	1919	Financial District/South Beach	6
2550 Taylor St	1973	North Beach	3
1250 JONES ST	1929	Nob Hill	3
2540 NEWHALL ST.	0	Bayview Hunters Point	10
855 JACKSON ST	1958	Chinatown	3
418 GEARY ST	1911	Tenderloin	3
3743 MISSION ST	1926	Bernal Heights	9
2900 GEARY BLVD	1929	Presidio Heights	2
2101 Fulton St	NA	Lone Mountain/USF	1
962 BATTERY ST	1910	Financial District/South Beach	3
1535 EDDY ST	1993	Western Addition	5
720 WASHINGTON ST	1964	Chinatown	3
721 FILBERT ST	1907	Chinatown	3
123 MISSION ST	1987	Financial District/South Beach	6
190 Otis Street	1909	Mission	6
564 BUSH ST	1907	Financial District/South Beach	3
101 CALIFORNIA ST	1983	Financial District/South Beach	3
601 BRANNAN ST	0	Mission Bay	6
972 MISSION ST	1925	South of Market	6
665 GRANT AVE	1908	Chinatown	3
220 GRANT AVE	1908	Financial District/South Beach	3
240 GOLDEN GATE AVE	1907	Tenderloin	5
25 JESSIE ST	1982	Financial District/South Beach	6
450 10TH ST	1994	South of Market	6
1603 PINE ST	1997	Western Addition	2
208 PENNSYLVANIA AVE	2000	Potrero Hill	10
865 MARKET ST	NA	South of Market	6
69 GREEN ST	1986	Financial District/South Beach	3
2551 MISSION ST	1912	Mission	9
1760 BUSH ST	1972	Pacific Heights	5
808 BRANNAN ST	1930	South of Market	6
401 TARAVAL ST	1972	West of Twin Peaks	7
201 TURK ST	1993	Tenderloin	5
2140 PALOU AVE	1976	Bayview Hunters Point	10
2415 IRVING ST	1950	Sunset/Parkside	4
345 CHURCH ST	1983	Castro/Upper Market	8
1400 PINE ST	1993	Nob Hill	3
475 BEACH ST	1983	North Beach	3
414 BRANNAN ST	1924	South of Market	6
1310 TURK ST	1927	Western Addition	5
450 OFARRELL ST	1923	Tenderloin	5
988 FULTON ST	1999	Western Addition	5
10 LUPINE AVE	1957	Presidio Heights	2
251 KEARNY ST	1908	Financial District/South Beach	3
181 2ND ST	1911	Financial District/South Beach	6
333 SCHWERIN ST	1955	Visitacion Valley	10
9 PETER YORKE WAY	1962	Western Addition	2
1690 BROADWAY	1975	Pacific Heights	2
250 VALENCIA ST	1907	Mission	9
350 Bush St	2018	Financial District/South Beach	3
650 POTRERO AVE	1936	Mission	9
601 3RD ST	1920	Financial District/South Beach	6
100 BROADWAY	1927	Financial District/South Beach	3
346 9TH ST	1920	South of Market	6
410 EDDY ST	1907	Tenderloin	5
2330 POLK ST	1926	Russian Hill	3
548 BRANNAN ST	2003	South of Market	6
2090 BROADWAY	1936	Pacific Heights	2
345 SPEAR ST	1991	Financial District/South Beach	6
624 POST ST	1907	Nob Hill	3
208 LAKE MERCED BLVD	1975	Lakeshore	7
1711 OAKDALE AVE	NA	Bayview Hunters Point	10
2255 HAYES ST	1939	Lone Mountain/USF	5
220 POST ST	1907	Financial District/South Beach	3
432 POWELL ST	1930	Financial District/South Beach	3
