business_id	business_name	business_address	inspection_date	inspection_score	violation_description	risk_category	Current Supervisor Districts
33084	Miette Cakes, LLC	449 Octavia St	2019-01-02	90	Improper food labeling or menu misrepresentation	Low Risk	11
34181	Coffee Bar 1 LLC	1890 Bryant St #C	2019-01-02	86	Improper or defective plumbing	Low Risk	2
35805	Hard Knox Cafe	2448 Clement	2019-01-02	90	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	4
876	PATPONG THAI CUISINE, INC.	2415 CLEMENT St	2019-01-02	74	High risk vermin infestation	High Risk	4
2233	The AA Bakery & Cafe	1068 Stockton St	2019-01-02	90	Improper food storage	Low Risk	3
15738	Lao Table	149 2nd St	2019-01-02	75	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	10
7663	GGP MARKET	2948 24th St	2019-01-02	90	Moderate risk vermin infestation	Moderate Risk	2
876	PATPONG THAI CUISINE, INC.	2415 CLEMENT St	2019-01-02	74	Improper thawing methods	Moderate Risk	4
64154	Yummy Dim Sum & Fast Food, LLC	930 Stockton St	2019-01-02	88	Improper food storage	Low Risk	3
3920	BOSTON MARKET	2300 16th St	2019-01-02	94	Inadequate dressing rooms or improper storage of personal items	Low Risk	9
15738	Lao Table	149 2nd St	2019-01-02	75	Moderate risk food holding temperature	Moderate Risk	10
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Moderate risk food holding temperature	Moderate Risk	6
7663	GGP MARKET	2948 24th St	2019-01-02	90	Unclean nonfood contact surfaces	Low Risk	2
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Moderate risk vermin infestation	Moderate Risk	6
15738	Lao Table	149 2nd St	2019-01-02	75	Improper thawing methods	Moderate Risk	10
33084	Miette Cakes, LLC	449 Octavia St	2019-01-02	90	Improper storage use or identification of toxic substances	Low Risk	11
35805	Hard Knox Cafe	2448 Clement	2019-01-02	90	Low risk vermin infestation	Low Risk	4
37717	SF Wraps	255 Kearny st.	2019-01-02	94	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	3
876	PATPONG THAI CUISINE, INC.	2415 CLEMENT St	2019-01-02	74	Inadequate ventilation or lighting	Low Risk	4
37717	SF Wraps	255 Kearny st.	2019-01-02	94	Foods not protected from contamination	Moderate Risk	3
34181	Coffee Bar 1 LLC	1890 Bryant St #C	2019-01-02	86	Moderate risk vermin infestation	Moderate Risk	2
2233	The AA Bakery & Cafe	1068 Stockton St	2019-01-02	90	Food safety certificate or food handler card not available	Low Risk	3
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Foods not protected from contamination	Moderate Risk	6
64154	Yummy Dim Sum & Fast Food, LLC	930 Stockton St	2019-01-02	88	Inadequate ventilation or lighting	Low Risk	3
7663	GGP MARKET	2948 24th St	2019-01-02	90	Unclean or degraded floors walls or ceilings	Low Risk	2
876	PATPONG THAI CUISINE, INC.	2415 CLEMENT St	2019-01-02	74	Contaminated or adulterated food	High Risk	4
64154	Yummy Dim Sum & Fast Food, LLC	930 Stockton St	2019-01-02	88	Low risk vermin infestation	Low Risk	3
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	6
3920	BOSTON MARKET	2300 16th St	2019-01-02	94	Permit license or inspection report not posted	Low Risk	9
35805	Hard Knox Cafe	2448 Clement	2019-01-02	90	Insufficient hot water or running water	Moderate Risk	4
4692	FRIENDS LIQUOR	1758 FILLMORE St	2019-01-02	98	Improper food storage	Low Risk	11
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Improper food storage	Low Risk	6
33084	Miette Cakes, LLC	449 Octavia St	2019-01-02	90	Inadequate and inaccessible handwashing facilities	Moderate Risk	11
34181	Coffee Bar 1 LLC	1890 Bryant St #C	2019-01-02	86	Inadequate and inaccessible handwashing facilities	Moderate Risk	2
15738	Lao Table	149 2nd St	2019-01-02	75	Unapproved or unmaintained equipment or utensils	Low Risk	10
34181	Coffee Bar 1 LLC	1890 Bryant St #C	2019-01-02	86	No person in charge of food facility	Low Risk	2
2233	The AA Bakery & Cafe	1068 Stockton St	2019-01-02	90	Unclean unmaintained or improperly constructed toilet facilities	Low Risk	3
3920	BOSTON MARKET	2300 16th St	2019-01-02	94	Unclean or degraded floors walls or ceilings	Low Risk	9
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Improper storage of equipment utensils or linens	Low Risk	6
34181	Coffee Bar 1 LLC	1890 Bryant St #C	2019-01-02	86	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	2
35805	Hard Knox Cafe	2448 Clement	2019-01-02	90	Unclean or degraded floors walls or ceilings	Low Risk	4
876	PATPONG THAI CUISINE, INC.	2415 CLEMENT St	2019-01-02	74	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	4
73	Santino's Vino	2101 Fillmore St	2019-01-02	78	Inadequate and inaccessible handwashing facilities	Moderate Risk	6
33084	Miette Cakes, LLC	449 Octavia St	2019-01-02	90	Low risk vermin infestation	Low Risk	11
876	PATPONG THAI CUISINE, INC.	2415 CLEMENT St	2019-01-02	74	Unclean or degraded floors walls or ceilings	Low Risk	4
64154	Yummy Dim Sum & Fast Food, LLC	930 Stockton St	2019-01-02	88	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	3
15738	Lao Table	149 2nd St	2019-01-02	75	Insufficient hot water or running water	Moderate Risk	10
2233	The AA Bakery & Cafe	1068 Stockton St	2019-01-02	90	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	3
64154	Yummy Dim Sum & Fast Food, LLC	930 Stockton St	2019-01-02	88	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	3
15738	Lao Table	149 2nd St	2019-01-02	75	High risk vermin infestation	High Risk	10
7663	GGP MARKET	2948 24th St	2019-01-02	90	Improper food storage	Low Risk	2
