"","Street Address","Business Start Date","Location Start Date","DBA Name"
"1","4101 3rd St",2017-08-14,2018-10-11,"Chef Boug"
"2","222 Stanyan St",2018-07-27,2018-07-27,"Royal Ground Coffee/Koret Deli"
"3","1410 Millbrae Ave 104",2019-03-22,2019-03-22,"King Of Thai Noodle House"
"4","634 Monterey Blvd",2017-07-24,2017-07-24,"Brenda's Decadent Chocolates"
"5","1550 Howard St",2018-10-04,2018-10-04,"Barnzu Di Mare"
"6","1788 Fell St Apt",2016-08-03,2016-08-03,"Faultline Coffee"
"7","5169 Mission St",2019-04-04,2019-04-04,"Pacita's Salvadorean Bakery And Resturaunt"
"8","620 Broadway",2016-08-02,2016-08-02,"Panuchos"
"9","120 Green St",2016-11-22,2016-11-22,"Chica"
"10","685 Harrison St",2019-12-20,2019-12-20,"Dba Prime Roots, Dba Nirvana Kitchen"
"11","301 Clay Street 301",2017-02-02,2017-02-02,"Gambinos Deli Inc"
"12","2948 Folsom St",2016-09-12,2016-09-12,"Oyna Natural Foods"
"13","1871 15th Ave",2018-07-19,2018-07-19,"Donald Perry"
"14","274 El Dorado Drive",2016-11-07,2016-11-07,"Da Poke Man"
"15","1050 Valencia St",2018-06-08,2021-03-01,"Alnico"
"16","428 11th St",2019-07-08,2019-08-13,"Porkie"
"17","998 Guerrero St",2019-09-04,2019-09-04,"The Liberties Bar And Restaurant"
"18","1 Mobile Caterers",2019-06-26,2019-08-21,"Reef Kitchens"
"19","1919 Ocean Ave",2016-06-21,2016-06-21,"Joyful Kitchen"
"20","2211 Filbert Street",2017-10-24,2017-11-10,"Rooster & Rice"
"21","977 Howard St",2016-03-17,2016-03-17,"A-P Bay Area Stores LLC"
"22","1737 Post St Ste 370",2018-02-28,2018-02-28,"Osakaya Restaurant"
"23","127 Stevenson",2016-11-07,2016-11-07,"Tequila Mockingbird"
"24","811 Stockton St",2018-01-01,2018-01-01,"New Fortune Restaurant"
"25","1483 Sutter St 1401",2016-11-12,2016-11-12,"Frolic Bakery"
"26","1550 Howard St",2018-10-04,2018-10-04,"Sushi Ondo"
"27","4401 Balboa St",2017-07-27,2017-07-27,"Feng Ze Yuan Inc."
"28","1 Ferry Building 14a",2017-05-01,2017-05-01,"Donut Farm"
"29","2077 Hayes St",2019-08-20,2019-09-18,"Gochees Pizza - Katani Pizza"
"30","298 Pacific",2016-12-13,2016-12-13,"Old Ship"
"31","423 Bush St",2017-09-25,2017-09-25,"Subway #12181"
"32","1109 Fillmore St",2019-04-24,2019-04-24,"Fillmore Chicken"
"33","2275 San Jose Ave",2016-12-01,2016-12-06,"Aj's Bbq & Cafe"
"34","1355 Market St Ste 180",2019-03-25,2019-06-01,"Cmb Food Group LLC"
"35","601 Mission Bay Blvd",2019-08-20,2020-10-09,"Los Kuyas Catering LLC"
"36","865 Market St",2017-02-09,2017-02-09,"Juice Craze"
"37","1740 Church St",2018-04-10,2018-04-10,"Kenko Cater"
"38","320 Mason St",2019-04-01,2019-04-01,"Mason Diner"
"39","401 Valencia St",2019-01-01,2019-01-01,"Pica Pica"
"40","2760 Octavia St",2019-03-30,2022-02-01,"Echigo Homecook"
"41","1441 S Stockton Street",2019-06-01,2019-06-01,"Cavalli Cafe"
"42","2961 Mission St",2018-01-14,2018-01-14,"The Civic Kitchen"
"43","941 Margaret St",2017-11-20,2017-11-20,"Joshi & Jaffar"
"44","25 Mason St",2019-06-26,2019-08-19,"Vessel Ca Operations"
"45","545 Haight St",2019-07-26,2019-07-26,"Berliner Berliner"
"46","6050 Geary Blvd",2018-12-10,2018-12-10,"Bambu"
"47","3230 Mission St",2017-06-16,2017-06-16,"Emmys Spaghetti Shack"
"48","2069 O'farrell St.",2018-07-10,2018-07-10,"A West African Coffee Company"
"49","Avenue",2017-05-24,2017-05-24,"Max's Opera Cafe"
"50","1914 Irving St",2017-03-01,2017-03-01,"Silver Spur"
"51","201 2nd St",2016-10-01,2016-10-01,"Creperie Saint Germain"
"52","407 Ellis St",2019-01-01,2019-01-01,"Sfnewa"
"53","1 Warriors Way",2019-12-17,2020-01-06,"Way To Life Foods"
"54","Pier 17 The Embarcadero Rm 200",2016-01-22,2016-03-31,"Curiosity Catering"
"55","4100 3rd St",2017-08-14,2017-08-21,"Boug Creole Deli"
"56","3250 Van Ness Ave",2019-12-16,2019-12-16,"Lifeworks @ Williams Sonoma"
"57","280 Newhall St",2016-08-08,2016-08-08,"Yoray's"
"58","200 Hunter's Pt. Shipyard",2018-01-22,2018-05-15,"Eclectic Cookery"
"59","1355 Market St Ste 100",2019-03-25,2022-03-01,"Cabalen Mb Group LLC"
"60","1116 Grant Ave",2017-07-01,2017-07-02,"Man Sung Co."
"61","1200 Gough St 18e",2019-05-20,2019-05-20,"Four Two Love Co."
"62","5300 Mission St",2017-01-06,2019-03-14,"Taqueria Los Amigos"
"63","428 11th St",2016-05-04,2018-07-03,"Poke Delish"
"64","198 Miramonte Dr",2019-10-02,2019-10-02,"K Five Fifty"
"65","1924 9th Ave Apt 310",2016-04-04,2016-04-04,"Rain Sun Food Services"
"66","515 Ofarrell St #23",2016-07-08,2016-07-08,"Madsky"
"67","350 Bush St Ste 200",2018-06-04,2018-07-05,"Guckenheimer @ Twitch Breakroom Floor 9"
"68","5200 Mission St",2017-08-07,2017-08-07,"London"
"69","401 Van Ness Ave",2018-07-23,2018-07-23,"War Memorial Herbst Theatre"
"70","1783 Palou Ave",2019-07-26,2019-07-26,"The Golden Truck"
"71","870 Market St",2019-02-06,2019-02-06,"Chilifruit"
"72","1322 Grove St",2019-02-05,2019-03-05,"Divisadero Cfm"
"73","3318 Carnation Ave",2018-08-10,2018-08-10,"R Douglas Construction, Inc."
"74","1638 22nd Avenue",2019-04-09,2019-04-09,"Regent Thai"
"75","798 Arguello Blvd",2019-01-11,2019-01-29,"Velo Rouge Cafe"
"76","2801 Jennings St",2017-03-01,2017-03-01,"Kitchenina"
"77","498 Alabama St",2019-04-01,2020-10-01,"Hedge Coffee"
"78","795 Valencia St",2019-09-11,2019-09-11,"Gatsbysf"
"79","2520 San Bruno Ave",2016-07-13,2016-07-13,"Dim Sum Kitchen Inc"
"80","1115 Clement St",2017-12-12,2017-12-12,"Dnm Hot Pot"
"81","262 Divisadero St",2017-11-03,2017-11-03,"Native Twins Coffee"
"82","5145 Mission St",2019-09-24,2019-09-24,"Bravo Pizza"
"83","1 Mobile Caterers",2019-06-26,2019-08-21,"Vessel Ca Operations #3"
"84","301 Van Ness Ave",2018-07-23,2018-07-23,"War Memorial Opera House"
"85","2193 Mission St",2017-07-14,2018-12-24,"Hell's Ramen"
"86","220 Bush St",2019-08-13,2019-08-13,"Hi City"
"87","4787 Mission St",2019-06-17,2019-06-17,"North Beach Pizza"
"88","1009 Guerrero St",2019-11-05,2019-11-05,"Fenikkusu"
"89","2379 Chestnut Street St",2017-02-01,2017-02-01,"Cultivar San Francisco"
"90","3515 20th St",2017-08-10,2017-08-10,"Little Kite"
"91","901 Mission St",2018-01-12,2018-01-12,"Fresh Made Cafe"
"92","3295 19th Street",2018-02-20,2018-02-20,"Dish Lama"
"93","2261 Market St Unit 30",2017-03-04,2017-03-08,"Seven Saints Superfoods"
"94","38 Teddy Ave",2019-03-19,2022-01-03,"Twirl And Dip"
"95","3516 Balboa St",2019-04-17,2019-04-18,"Teacup & Sandwiches"
"96","1 Market, Spear Tower St Fl 36",2017-06-06,2017-06-06,"532 Market Street"
"97","2020 Kittredge St Apt 315",2018-04-03,2018-04-03,"Your Way To Life Foods"
"98","5827 Geary Blvd",2018-09-19,2018-09-19,"An Chi"
"99","2175 Market St",2016-03-24,2016-03-24,"Noname Sushi"
"100","1055 California St Apt 3",2016-08-01,2016-08-15,"Vegan Picnic"
"101","1935 Taraval St",2019-03-26,2019-03-26,"Dumpling Kitchen"
"102","1123 Folsom St",2019-03-15,2019-03-15,"Sf Chickenbox"
"103","1555 Mission St",2016-09-30,2016-09-30,"Zaoh Restaurant"
"104","645 Irving St",2019-03-17,2019-03-17,"Yifang Sunset"
"105","6438 Geary Blvd Ave Apt 308",2017-05-17,2017-05-17,"Falak Biryani Palace"
"106","1000 Guerrero St",2018-05-25,2018-05-25,"Kitchen Guerrero"
"107","101 Hyde St 21",2018-11-07,2020-01-27,"Kayma"
"108","2379 Chestnut St",2016-03-29,2016-03-29,"Cultivar"
"109","785 8th Ave",2016-10-28,2016-10-28,"Rise & Grind"
"110","1829 Union St",2018-01-20,2018-01-20,"Crystal Ann Ianu"
"111","50 Fremont St Fl 25/26",2017-12-27,2019-03-21,"Aramark Rfs At Salesforce"
"112","811 Stockton St",2018-01-01,2018-01-01,"New Fortune Dim Sum"
"113","2926 Laguna St",2018-02-01,2018-02-01,"Kween"
"114","535 Green",2019-06-26,2019-09-18,"Reef Kitchens"
"115","250 Divisadero St",2019-01-07,2019-01-07,"Tea & Others"
