inspection_score,business_name,business_address,violation_description,risk_category,sup_dist,violation_count,quarter,year,month,day
90.0,"Miette Cakes, LLC",449 Octavia St,Improper food labeling or menu misrepresentation,1,11,4,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Improper or defective plumbing,1,2,5,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Wiping cloths not clean or properly stored or inadequate sanitizer,1,4,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,High risk vermin infestation,3,4,6,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Improper food storage,1,3,4,1,2019,1,2
75.0,Lao Table,149 2nd St,Inadequately cleaned or sanitized food contact surfaces,2,10,6,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Moderate risk vermin infestation,2,2,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Improper thawing methods,2,4,6,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Improper food storage,1,3,5,1,2019,1,2
94.0,BOSTON MARKET,2300 16th St,Inadequate dressing rooms or improper storage of personal items,1,9,3,1,2019,1,2
75.0,Lao Table,149 2nd St,Moderate risk food holding temperature,2,10,6,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Moderate risk food holding temperature,2,6,7,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Unclean nonfood contact surfaces,1,2,4,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Moderate risk vermin infestation,2,6,7,1,2019,1,2
75.0,Lao Table,149 2nd St,Improper thawing methods,2,10,6,1,2019,1,2
90.0,"Miette Cakes, LLC",449 Octavia St,Improper storage use or identification of toxic substances,1,11,4,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Low risk vermin infestation,1,4,4,1,2019,1,2
94.0,SF Wraps,255 Kearny st.,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,2,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Inadequate ventilation or lighting,1,4,6,1,2019,1,2
94.0,SF Wraps,255 Kearny st.,Foods not protected from contamination,2,3,2,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Moderate risk vermin infestation,2,2,5,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Food safety certificate or food handler card not available,1,3,4,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Foods not protected from contamination,2,6,7,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Inadequate ventilation or lighting,1,3,5,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Unclean or degraded floors walls or ceilings,1,2,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Contaminated or adulterated food,3,4,6,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Low risk vermin infestation,1,3,5,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,6,7,1,2019,1,2
94.0,BOSTON MARKET,2300 16th St,Permit license or inspection report not posted,1,9,3,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Insufficient hot water or running water,2,4,4,1,2019,1,2
98.0,FRIENDS LIQUOR,1758 FILLMORE St,Improper food storage,1,11,1,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Improper food storage,1,6,7,1,2019,1,2
90.0,"Miette Cakes, LLC",449 Octavia St,Inadequate and inaccessible handwashing facilities,2,11,4,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Inadequate and inaccessible handwashing facilities,2,2,5,1,2019,1,2
75.0,Lao Table,149 2nd St,Unapproved or unmaintained equipment or utensils,1,10,6,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,No person in charge of food facility,1,2,5,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Unclean unmaintained or improperly constructed toilet facilities,1,3,4,1,2019,1,2
94.0,BOSTON MARKET,2300 16th St,Unclean or degraded floors walls or ceilings,1,9,3,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Improper storage of equipment utensils or linens,1,6,7,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Wiping cloths not clean or properly stored or inadequate sanitizer,1,2,5,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Unclean or degraded floors walls or ceilings,1,4,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Inadequately cleaned or sanitized food contact surfaces,2,4,6,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Inadequate and inaccessible handwashing facilities,2,6,7,1,2019,1,2
90.0,"Miette Cakes, LLC",449 Octavia St,Low risk vermin infestation,1,11,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Unclean or degraded floors walls or ceilings,1,4,6,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Inadequate food safety knowledge or lack of certified food safety manager,2,3,5,1,2019,1,2
75.0,Lao Table,149 2nd St,Insufficient hot water or running water,2,10,6,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Inadequately cleaned or sanitized food contact surfaces,2,3,4,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,5,1,2019,1,2
75.0,Lao Table,149 2nd St,High risk vermin infestation,3,10,6,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Improper food storage,1,2,4,1,2019,1,2
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unclean or degraded floors walls or ceilings,1,8,7,1,2019,1,3
92.0,COSTCO WHOLESALE,450 10th St,Inadequately cleaned or sanitized food contact surfaces,2,10,2,1,2019,1,3
96.0,Jack In The Box #545,400 Geary St,Improper food storage,1,3,2,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Inadequate food safety knowledge or lack of certified food safety manager,2,1,6,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Improper food storage,1,1,6,1,2019,1,3
90.0,TWO JACKS SEAFOOD #2,984 GILMAN Ave,Unapproved or unmaintained equipment or utensils,1,9,4,1,2019,1,3
86.0,Dagwood & Scoops,2736 24 St,Inadequately cleaned or sanitized food contact surfaces,2,2,4,1,2019,1,3
66.0,EL FARO,82 01st St,Unapproved or unmaintained equipment or utensils,1,10,8,1,2019,1,3
96.0,Dynamo,2760 24th St,Moderate risk vermin infestation,2,2,1,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unapproved or unmaintained equipment or utensils,1,8,7,1,2019,1,3
94.0,Taboun,203 Parnassus Ave,Food safety certificate or food handler card not available,1,11,2,1,2019,1,3
87.0,Lee's Deli,615 Market St,Unclean or degraded floors walls or ceilings,1,10,3,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unclean nonfood contact surfaces,1,8,7,1,2019,1,3
92.0,COSTCO WHOLESALE,450 10th St,Foods not protected from contamination,2,10,2,1,2019,1,3
90.0,TWO JACKS SEAFOOD #2,984 GILMAN Ave,Food safety certificate or food handler card not available,1,9,4,1,2019,1,3
86.0,Dagwood & Scoops,2736 24 St,Unclean or degraded floors walls or ceilings,1,2,4,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Inadequate and inaccessible handwashing facilities,2,1,6,1,2019,1,3
96.0,Jack In The Box #545,400 Geary St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,2,1,2019,1,3
66.0,EL FARO,82 01st St,Inadequate food safety knowledge or lack of certified food safety manager,2,10,8,1,2019,1,3
66.0,EL FARO,82 01st St,Inadequate ventilation or lighting,1,10,8,1,2019,1,3
66.0,EL FARO,82 01st St,Inadequately cleaned or sanitized food contact surfaces,2,10,8,1,2019,1,3
